Year,Crypto (Global),AI/ML (US),Tech (US)
,,,38.00
,,,59.00
,,,68.80
,,,69.70
2017,0.92,15.50,72.00
2018,5.30,26.90,125.50
2019,3.20,31.80,120.70
2020,4.20,39.10,143.40
2021,24.80,80.20,304.80
2022,29.20,54.40,208.60
2023,9.30,62.60,146.50
